real/dining table_114871.png,fake/glide_inpainting_val2017_114871_up.png,mask/dining table_114871_mask.png
real/elephant_263860.png,fake/glide_inpainting_val2017_263860_up.png,mask/elephant_263860_mask.png
real/vase_95786.png,fake/glide_inpainting_val2017_95786_up.png,mask/vase_95786_mask.png
real/sandwich_287959.png,fake/glide_inpainting_val2017_287959_up.png,mask/sandwich_287959_mask.png
real/elephant_330790.png,fake/glide_inpainting_val2017_330790_up.png,mask/elephant_330790_mask.png
real/donut_377814.png,fake/glide_inpainting_val2017_377814_up.png,mask/donut_377814_mask.png
real/donut_451150.png,fake/glide_inpainting_val2017_451150_up.png,mask/donut_451150_mask.png
real/dog_361571.png,fake/glide_inpainting_val2017_361571_up.png,mask/dog_361571_mask.png
real/bicycle_101762.png,fake/glide_inpainting_val2017_101762_up.png,mask/bicycle_101762_mask.png
real/pizza_24144.png,fake/glide_inpainting_val2017_24144_up.png,mask/pizza_24144_mask.png
real/suitcase_304545.png,fake/glide_inpainting_val2017_304545_up.png,mask/suitcase_304545_mask.png
real/stop sign_283038.png,fake/glide_inpainting_val2017_283038_up.png,mask/stop sign_283038_mask.png
real/dining table_182417.png,fake/glide_inpainting_val2017_182417_up.png,mask/dining table_182417_mask.png
real/train_534639.png,fake/glide_inpainting_val2017_534639_up.png,mask/train_534639_mask.png
real/pizza_232489.png,fake/glide_inpainting_val2017_232489_up.png,mask/pizza_232489_mask.png
real/cow_133778.png,fake/glide_inpainting_val2017_133778_up.png,mask/cow_133778_mask.png
real/refrigerator_168593.png,fake/glide_inpainting_val2017_168593_up.png,mask/refrigerator_168593_mask.png
real/cat_402473.png,fake/glide_inpainting_val2017_402473_up.png,mask/cat_402473_mask.png
real/bed_435299.png,fake/glide_inpainting_val2017_435299_up.png,mask/bed_435299_mask.png
real/zebra_317024.png,fake/glide_inpainting_val2017_317024_up.png,mask/zebra_317024_mask.png
real/orange_50896.png,fake/glide_inpainting_val2017_50896_up.png,mask/orange_50896_mask.png
real/bird_147498.png,fake/glide_inpainting_val2017_147498_up.png,mask/bird_147498_mask.png
real/motorcycle_410878.png,fake/glide_inpainting_val2017_410878_up.png,mask/motorcycle_410878_mask.png
real/bear_203546.png,fake/glide_inpainting_val2017_203546_up.png,mask/bear_203546_mask.png
real/zebra_185409.png,fake/glide_inpainting_val2017_185409_up.png,mask/zebra_185409_mask.png
real/cow_518213.png,fake/glide_inpainting_val2017_518213_up.png,mask/cow_518213_mask.png
real/hot dog_293858.png,fake/glide_inpainting_val2017_293858_up.png,mask/hot dog_293858_mask.png
real/vase_51326.png,fake/glide_inpainting_val2017_51326_up.png,mask/vase_51326_mask.png
real/sheep_198960.png,fake/glide_inpainting_val2017_198960_up.png,mask/sheep_198960_mask.png
real/donut_328117.png,fake/glide_inpainting_val2017_328117_up.png,mask/donut_328117_mask.png
real/toilet_272416.png,fake/glide_inpainting_val2017_272416_up.png,mask/toilet_272416_mask.png
real/giraffe_420472.png,fake/glide_inpainting_val2017_420472_up.png,mask/giraffe_420472_mask.png
real/bear_20247.png,fake/glide_inpainting_val2017_20247_up.png,mask/bear_20247_mask.png
real/hot dog_319617.png,fake/glide_inpainting_val2017_319617_up.png,mask/hot dog_319617_mask.png
real/elephant_433374.png,fake/glide_inpainting_val2017_433374_up.png,mask/elephant_433374_mask.png
real/cow_244411.png,fake/glide_inpainting_val2017_244411_up.png,mask/cow_244411_mask.png
real/fork_75393.png,fake/glide_inpainting_val2017_75393_up.png,mask/fork_75393_mask.png
real/horse_529105.png,fake/glide_inpainting_val2017_529105_up.png,mask/horse_529105_mask.png
real/toilet_394328.png,fake/glide_inpainting_val2017_394328_up.png,mask/toilet_394328_mask.png
real/cake_85195.png,fake/glide_inpainting_val2017_85195_up.png,mask/cake_85195_mask.png
real/broccoli_356498.png,fake/glide_inpainting_val2017_356498_up.png,mask/broccoli_356498_mask.png
real/bus_15517.png,fake/glide_inpainting_val2017_15517_up.png,mask/bus_15517_mask.png
real/giraffe_284296.png,fake/glide_inpainting_val2017_284296_up.png,mask/giraffe_284296_mask.png
real/wine glass_533206.png,fake/glide_inpainting_val2017_533206_up.png,mask/wine glass_533206_mask.png
real/umbrella_233033.png,fake/glide_inpainting_val2017_233033_up.png,mask/umbrella_233033_mask.png
real/clock_418961.png,fake/glide_inpainting_val2017_418961_up.png,mask/clock_418961_mask.png
real/stop sign_579893.png,fake/glide_inpainting_val2017_579893_up.png,mask/stop sign_579893_mask.png
real/airplane_383621.png,fake/glide_inpainting_val2017_383621_up.png,mask/airplane_383621_mask.png
real/horse_508639.png,fake/glide_inpainting_val2017_508639_up.png,mask/horse_508639_mask.png
real/laptop_60449.png,fake/glide_inpainting_val2017_60449_up.png,mask/laptop_60449_mask.png
real/bottle_375078.png,fake/glide_inpainting_val2017_375078_up.png,mask/bottle_375078_mask.png
real/parking meter_328683.png,fake/glide_inpainting_val2017_328683_up.png,mask/parking meter_328683_mask.png
real/parking meter_36861.png,fake/glide_inpainting_val2017_36861_up.png,mask/parking meter_36861_mask.png
real/handbag_23023.png,fake/glide_inpainting_val2017_23023_up.png,mask/handbag_23023_mask.png
real/zebra_129054.png,fake/glide_inpainting_val2017_129054_up.png,mask/zebra_129054_mask.png
real/tie_505573.png,fake/glide_inpainting_val2017_505573_up.png,mask/tie_505573_mask.png
real/sheep_340272.png,fake/glide_inpainting_val2017_340272_up.png,mask/sheep_340272_mask.png
real/bicycle_196843.png,fake/glide_inpainting_val2017_196843_up.png,mask/bicycle_196843_mask.png
real/pizza_194746.png,fake/glide_inpainting_val2017_194746_up.png,mask/pizza_194746_mask.png
real/broccoli_3845.png,fake/glide_inpainting_val2017_3845_up.png,mask/broccoli_3845_mask.png
real/truck_314914.png,fake/glide_inpainting_val2017_314914_up.png,mask/truck_314914_mask.png
real/bus_15440.png,fake/glide_inpainting_val2017_15440_up.png,mask/bus_15440_mask.png
real/surfboard_355677.png,fake/glide_inpainting_val2017_355677_up.png,mask/surfboard_355677_mask.png
real/traffic light_526392.png,fake/glide_inpainting_val2017_526392_up.png,mask/traffic light_526392_mask.png
real/fork_559707.png,fake/glide_inpainting_val2017_559707_up.png,mask/fork_559707_mask.png
real/knife_153632.png,fake/glide_inpainting_val2017_153632_up.png,mask/knife_153632_mask.png
real/tie_471869.png,fake/glide_inpainting_val2017_471869_up.png,mask/tie_471869_mask.png
real/cow_416837.png,fake/glide_inpainting_val2017_416837_up.png,mask/cow_416837_mask.png
real/horse_226883.png,fake/glide_inpainting_val2017_226883_up.png,mask/horse_226883_mask.png
real/hot dog_29675.png,fake/glide_inpainting_val2017_29675_up.png,mask/hot dog_29675_mask.png
real/motorcycle_456394.png,fake/glide_inpainting_val2017_456394_up.png,mask/motorcycle_456394_mask.png
real/cat_416330.png,fake/glide_inpainting_val2017_416330_up.png,mask/cat_416330_mask.png
real/zebra_122969.png,fake/glide_inpainting_val2017_122969_up.png,mask/zebra_122969_mask.png
real/sheep_22589.png,fake/glide_inpainting_val2017_22589_up.png,mask/sheep_22589_mask.png
real/cow_222863.png,fake/glide_inpainting_val2017_222863_up.png,mask/cow_222863_mask.png
real/teddy bear_537802.png,fake/glide_inpainting_val2017_537802_up.png,mask/teddy bear_537802_mask.png
real/teddy bear_370900.png,fake/glide_inpainting_val2017_370900_up.png,mask/teddy bear_370900_mask.png
real/train_129135.png,fake/glide_inpainting_val2017_129135_up.png,mask/train_129135_mask.png
real/train_416269.png,fake/glide_inpainting_val2017_416269_up.png,mask/train_416269_mask.png
real/zebra_25139.png,fake/glide_inpainting_val2017_25139_up.png,mask/zebra_25139_mask.png
real/giraffe_486046.png,fake/glide_inpainting_val2017_486046_up.png,mask/giraffe_486046_mask.png
real/donut_322211.png,fake/glide_inpainting_val2017_322211_up.png,mask/donut_322211_mask.png
real/suitcase_84650.png,fake/glide_inpainting_val2017_84650_up.png,mask/suitcase_84650_mask.png
real/horse_380203.png,fake/glide_inpainting_val2017_380203_up.png,mask/horse_380203_mask.png
real/pizza_451693.png,fake/glide_inpainting_val2017_451693_up.png,mask/pizza_451693_mask.png
real/truck_196759.png,fake/glide_inpainting_val2017_196759_up.png,mask/truck_196759_mask.png
real/microwave_269866.png,fake/glide_inpainting_val2017_269866_up.png,mask/microwave_269866_mask.png
real/hot dog_283113.png,fake/glide_inpainting_val2017_283113_up.png,mask/hot dog_283113_mask.png
real/truck_76417.png,fake/glide_inpainting_val2017_76417_up.png,mask/truck_76417_mask.png
real/hot dog_438226.png,fake/glide_inpainting_val2017_438226_up.png,mask/hot dog_438226_mask.png
real/airplane_139871.png,fake/glide_inpainting_val2017_139871_up.png,mask/airplane_139871_mask.png
real/stop sign_214200.png,fake/glide_inpainting_val2017_214200_up.png,mask/stop sign_214200_mask.png
real/vase_521282.png,fake/glide_inpainting_val2017_521282_up.png,mask/vase_521282_mask.png
real/cell phone_228981.png,fake/glide_inpainting_val2017_228981_up.png,mask/cell phone_228981_mask.png
real/microwave_577584.png,fake/glide_inpainting_val2017_577584_up.png,mask/microwave_577584_mask.png
real/keyboard_1675.png,fake/glide_inpainting_val2017_1675_up.png,mask/keyboard_1675_mask.png
real/cell phone_288391.png,fake/glide_inpainting_val2017_288391_up.png,mask/cell phone_288391_mask.png
real/snowboard_304817.png,fake/glide_inpainting_val2017_304817_up.png,mask/snowboard_304817_mask.png
real/toilet_431140.png,fake/glide_inpainting_val2017_431140_up.png,mask/toilet_431140_mask.png
real/airplane_553094.png,fake/glide_inpainting_val2017_553094_up.png,mask/airplane_553094_mask.png
real/orange_189078.png,fake/glide_inpainting_val2017_189078_up.png,mask/orange_189078_mask.png
real/airplane_323709.png,fake/glide_inpainting_val2017_323709_up.png,mask/airplane_323709_mask.png
real/wine glass_146489.png,fake/glide_inpainting_val2017_146489_up.png,mask/wine glass_146489_mask.png
real/refrigerator_194724.png,fake/glide_inpainting_val2017_194724_up.png,mask/refrigerator_194724_mask.png
real/toilet_59920.png,fake/glide_inpainting_val2017_59920_up.png,mask/toilet_59920_mask.png
real/hot dog_393014.png,fake/glide_inpainting_val2017_393014_up.png,mask/hot dog_393014_mask.png
real/motorcycle_48924.png,fake/glide_inpainting_val2017_48924_up.png,mask/motorcycle_48924_mask.png
real/toilet_147518.png,fake/glide_inpainting_val2017_147518_up.png,mask/toilet_147518_mask.png
real/boat_133233.png,fake/glide_inpainting_val2017_133233_up.png,mask/boat_133233_mask.png
real/broccoli_516871.png,fake/glide_inpainting_val2017_516871_up.png,mask/broccoli_516871_mask.png
real/banana_575500.png,fake/glide_inpainting_val2017_575500_up.png,mask/banana_575500_mask.png
real/boat_228436.png,fake/glide_inpainting_val2017_228436_up.png,mask/boat_228436_mask.png
real/kite_85911.png,fake/glide_inpainting_val2017_85911_up.png,mask/kite_85911_mask.png
real/zebra_20059.png,fake/glide_inpainting_val2017_20059_up.png,mask/zebra_20059_mask.png
real/suitcase_370478.png,fake/glide_inpainting_val2017_370478_up.png,mask/suitcase_370478_mask.png
real/surfboard_164115.png,fake/glide_inpainting_val2017_164115_up.png,mask/surfboard_164115_mask.png
real/boat_491725.png,fake/glide_inpainting_val2017_491725_up.png,mask/boat_491725_mask.png
real/vase_69795.png,fake/glide_inpainting_val2017_69795_up.png,mask/vase_69795_mask.png
real/fire hydrant_390301.png,fake/glide_inpainting_val2017_390301_up.png,mask/fire hydrant_390301_mask.png
real/fire hydrant_138550.png,fake/glide_inpainting_val2017_138550_up.png,mask/fire hydrant_138550_mask.png
real/banana_78959.png,fake/glide_inpainting_val2017_78959_up.png,mask/banana_78959_mask.png
real/horse_269932.png,fake/glide_inpainting_val2017_269932_up.png,mask/horse_269932_mask.png
real/giraffe_460379.png,fake/glide_inpainting_val2017_460379_up.png,mask/giraffe_460379_mask.png
real/giraffe_211069.png,fake/glide_inpainting_val2017_211069_up.png,mask/giraffe_211069_mask.png
real/sheep_552612.png,fake/glide_inpainting_val2017_552612_up.png,mask/sheep_552612_mask.png
real/toilet_85576.png,fake/glide_inpainting_val2017_85576_up.png,mask/toilet_85576_mask.png
real/microwave_313130.png,fake/glide_inpainting_val2017_313130_up.png,mask/microwave_313130_mask.png
real/toilet_32285.png,fake/glide_inpainting_val2017_32285_up.png,mask/toilet_32285_mask.png
real/horse_17178.png,fake/glide_inpainting_val2017_17178_up.png,mask/horse_17178_mask.png
real/frisbee_221693.png,fake/glide_inpainting_val2017_221693_up.png,mask/frisbee_221693_mask.png
real/spoon_465430.png,fake/glide_inpainting_val2017_465430_up.png,mask/spoon_465430_mask.png
real/dining table_340175.png,fake/glide_inpainting_val2017_340175_up.png,mask/dining table_340175_mask.png
real/fork_210030.png,fake/glide_inpainting_val2017_210030_up.png,mask/fork_210030_mask.png
real/mouse_68765.png,fake/glide_inpainting_val2017_68765_up.png,mask/mouse_68765_mask.png
real/donut_25986.png,fake/glide_inpainting_val2017_25986_up.png,mask/donut_25986_mask.png
real/spoon_335427.png,fake/glide_inpainting_val2017_335427_up.png,mask/spoon_335427_mask.png
real/cow_347664.png,fake/glide_inpainting_val2017_347664_up.png,mask/cow_347664_mask.png
real/dog_392818.png,fake/glide_inpainting_val2017_392818_up.png,mask/dog_392818_mask.png
real/oven_283717.png,fake/glide_inpainting_val2017_283717_up.png,mask/oven_283717_mask.png
real/banana_407574.png,fake/glide_inpainting_val2017_407574_up.png,mask/banana_407574_mask.png
real/zebra_290833.png,fake/glide_inpainting_val2017_290833_up.png,mask/zebra_290833_mask.png
real/dining table_100582.png,fake/glide_inpainting_val2017_100582_up.png,mask/dining table_100582_mask.png
real/potted plant_279145.png,fake/glide_inpainting_val2017_279145_up.png,mask/potted plant_279145_mask.png
real/broccoli_579091.png,fake/glide_inpainting_val2017_579091_up.png,mask/broccoli_579091_mask.png
real/truck_474164.png,fake/glide_inpainting_val2017_474164_up.png,mask/truck_474164_mask.png
real/cat_63552.png,fake/glide_inpainting_val2017_63552_up.png,mask/cat_63552_mask.png
real/suitcase_125952.png,fake/glide_inpainting_val2017_125952_up.png,mask/suitcase_125952_mask.png
real/pizza_43581.png,fake/glide_inpainting_val2017_43581_up.png,mask/pizza_43581_mask.png
real/elephant_110638.png,fake/glide_inpainting_val2017_110638_up.png,mask/elephant_110638_mask.png
real/chair_540928.png,fake/glide_inpainting_val2017_540928_up.png,mask/chair_540928_mask.png
real/motorcycle_279887.png,fake/glide_inpainting_val2017_279887_up.png,mask/motorcycle_279887_mask.png
real/banana_161820.png,fake/glide_inpainting_val2017_161820_up.png,mask/banana_161820_mask.png
real/pizza_337498.png,fake/glide_inpainting_val2017_337498_up.png,mask/pizza_337498_mask.png
real/teddy bear_125062.png,fake/glide_inpainting_val2017_125062_up.png,mask/teddy bear_125062_mask.png
real/cake_485130.png,fake/glide_inpainting_val2017_485130_up.png,mask/cake_485130_mask.png
real/elephant_493284.png,fake/glide_inpainting_val2017_493284_up.png,mask/elephant_493284_mask.png
real/baseball bat_57232.png,fake/glide_inpainting_val2017_57232_up.png,mask/baseball bat_57232_mask.png
real/oven_393838.png,fake/glide_inpainting_val2017_393838_up.png,mask/oven_393838_mask.png
real/truck_523782.png,fake/glide_inpainting_val2017_523782_up.png,mask/truck_523782_mask.png
real/suitcase_453860.png,fake/glide_inpainting_val2017_453860_up.png,mask/suitcase_453860_mask.png
real/parking meter_333956.png,fake/glide_inpainting_val2017_333956_up.png,mask/parking meter_333956_mask.png
real/horse_335450.png,fake/glide_inpainting_val2017_335450_up.png,mask/horse_335450_mask.png
real/orange_231527.png,fake/glide_inpainting_val2017_231527_up.png,mask/orange_231527_mask.png
real/giraffe_134689.png,fake/glide_inpainting_val2017_134689_up.png,mask/giraffe_134689_mask.png
real/boat_543300.png,fake/glide_inpainting_val2017_543300_up.png,mask/boat_543300_mask.png
real/backpack_32610.png,fake/glide_inpainting_val2017_32610_up.png,mask/backpack_32610_mask.png
real/tv_368684.png,fake/glide_inpainting_val2017_368684_up.png,mask/tv_368684_mask.png
real/broccoli_132116.png,fake/glide_inpainting_val2017_132116_up.png,mask/broccoli_132116_mask.png
real/cell phone_180798.png,fake/glide_inpainting_val2017_180798_up.png,mask/cell phone_180798_mask.png
real/pizza_402433.png,fake/glide_inpainting_val2017_402433_up.png,mask/pizza_402433_mask.png
real/wine glass_416885.png,fake/glide_inpainting_val2017_416885_up.png,mask/wine glass_416885_mask.png
real/spoon_129113.png,fake/glide_inpainting_val2017_129113_up.png,mask/spoon_129113_mask.png
real/parking meter_430871.png,fake/glide_inpainting_val2017_430871_up.png,mask/parking meter_430871_mask.png
real/sandwich_322574.png,fake/glide_inpainting_val2017_322574_up.png,mask/sandwich_322574_mask.png
real/tie_131938.png,fake/glide_inpainting_val2017_131938_up.png,mask/tie_131938_mask.png
real/fire hydrant_377575.png,fake/glide_inpainting_val2017_377575_up.png,mask/fire hydrant_377575_mask.png
real/boat_133645.png,fake/glide_inpainting_val2017_133645_up.png,mask/boat_133645_mask.png
real/fire hydrant_293071.png,fake/glide_inpainting_val2017_293071_up.png,mask/fire hydrant_293071_mask.png
real/apple_424721.png,fake/glide_inpainting_val2017_424721_up.png,mask/apple_424721_mask.png
real/clock_344614.png,fake/glide_inpainting_val2017_344614_up.png,mask/clock_344614_mask.png
real/toothbrush_365385.png,fake/glide_inpainting_val2017_365385_up.png,mask/toothbrush_365385_mask.png
real/surfboard_377882.png,fake/glide_inpainting_val2017_377882_up.png,mask/surfboard_377882_mask.png
real/car_225532.png,fake/glide_inpainting_val2017_225532_up.png,mask/car_225532_mask.png
real/microwave_127182.png,fake/glide_inpainting_val2017_127182_up.png,mask/microwave_127182_mask.png
real/laptop_433192.png,fake/glide_inpainting_val2017_433192_up.png,mask/laptop_433192_mask.png
real/orange_318114.png,fake/glide_inpainting_val2017_318114_up.png,mask/orange_318114_mask.png
real/elephant_474170.png,fake/glide_inpainting_val2017_474170_up.png,mask/elephant_474170_mask.png
real/clock_267351.png,fake/glide_inpainting_val2017_267351_up.png,mask/clock_267351_mask.png
real/toothbrush_241319.png,fake/glide_inpainting_val2017_241319_up.png,mask/toothbrush_241319_mask.png
real/sheep_225184.png,fake/glide_inpainting_val2017_225184_up.png,mask/sheep_225184_mask.png
real/bear_194216.png,fake/glide_inpainting_val2017_194216_up.png,mask/bear_194216_mask.png
real/laptop_11813.png,fake/glide_inpainting_val2017_11813_up.png,mask/laptop_11813_mask.png
real/surfboard_92177.png,fake/glide_inpainting_val2017_92177_up.png,mask/surfboard_92177_mask.png
real/elephant_556765.png,fake/glide_inpainting_val2017_556765_up.png,mask/elephant_556765_mask.png
real/tv_98839.png,fake/glide_inpainting_val2017_98839_up.png,mask/tv_98839_mask.png
real/skateboard_300842.png,fake/glide_inpainting_val2017_300842_up.png,mask/skateboard_300842_mask.png
real/toaster_232348.png,fake/glide_inpainting_val2017_232348_up.png,mask/toaster_232348_mask.png
real/chair_428280.png,fake/glide_inpainting_val2017_428280_up.png,mask/chair_428280_mask.png
real/dog_486479.png,fake/glide_inpainting_val2017_486479_up.png,mask/dog_486479_mask.png
real/motorcycle_408830.png,fake/glide_inpainting_val2017_408830_up.png,mask/motorcycle_408830_mask.png
real/toilet_61471.png,fake/glide_inpainting_val2017_61471_up.png,mask/toilet_61471_mask.png
real/cow_14888.png,fake/glide_inpainting_val2017_14888_up.png,mask/cow_14888_mask.png
real/tv_77396.png,fake/glide_inpainting_val2017_77396_up.png,mask/tv_77396_mask.png
real/elephant_166563.png,fake/glide_inpainting_val2017_166563_up.png,mask/elephant_166563_mask.png
real/bed_39956.png,fake/glide_inpainting_val2017_39956_up.png,mask/bed_39956_mask.png
real/refrigerator_446522.png,fake/glide_inpainting_val2017_446522_up.png,mask/refrigerator_446522_mask.png
real/scissors_357501.png,fake/glide_inpainting_val2017_357501_up.png,mask/scissors_357501_mask.png
real/umbrella_341058.png,fake/glide_inpainting_val2017_341058_up.png,mask/umbrella_341058_mask.png
real/carrot_157390.png,fake/glide_inpainting_val2017_157390_up.png,mask/carrot_157390_mask.png
real/remote_99428.png,fake/glide_inpainting_val2017_99428_up.png,mask/remote_99428_mask.png
real/hot dog_251119.png,fake/glide_inpainting_val2017_251119_up.png,mask/hot dog_251119_mask.png
real/toilet_245764.png,fake/glide_inpainting_val2017_245764_up.png,mask/toilet_245764_mask.png
real/bed_384651.png,fake/glide_inpainting_val2017_384651_up.png,mask/bed_384651_mask.png
real/giraffe_296969.png,fake/glide_inpainting_val2017_296969_up.png,mask/giraffe_296969_mask.png
real/suitcase_389315.png,fake/glide_inpainting_val2017_389315_up.png,mask/suitcase_389315_mask.png
real/carrot_530052.png,fake/glide_inpainting_val2017_530052_up.png,mask/carrot_530052_mask.png
real/sheep_269196.png,fake/glide_inpainting_val2017_269196_up.png,mask/sheep_269196_mask.png
real/stop sign_79408.png,fake/glide_inpainting_val2017_79408_up.png,mask/stop sign_79408_mask.png
